2018-02-22 23:08:01.903 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED com.sun.el.javax.el_3.0.0 [27]
2018-02-22 23:08:01.905 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED javax.servlet.jsp-api_2.3.2.b01 [28]
2018-02-22 23:08:01.909 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED javax.servlet.jsp.jstl-api_1.2.1 [29]
2018-02-22 23:08:01.912 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED javax.servlet.jsp.jstl_1.2.3.LIFERAY-PATCHED-2 [30]
2018-02-22 23:08:01.917 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED org.apache.commons.fileupload_1.3.2 [31]
2018-02-22 23:08:01.924 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED org.apache.commons.io_2.2.0 [32]
2018-02-22 23:08:03.282 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED org.apache.felix.bundlerepository_2.0.2.LIFERAY-PATCHED-1 [33]
2018-02-22 23:08:03.301 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED org.apache.felix.configadmin_1.8.8 [34]
2018-02-22 23:08:03.302 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED org.apache.felix.dependencymanager_3.2.0 [35]
2018-02-22 23:08:03.306 INFO  [Start Level: Equinox Container: 004a0f39-2518-0018-1c2d-e274beb611f1][BundleStartStopLogger:35] STARTED org.apache.felix.dependencymanager.shell_3.2.0 [36]
